H	B
400000.000000	1.626062
313966.400000	1.501416
202234.800000	1.342776
107262.400000	1.178470
35754.000000	1.036828
1117.200000	0.957508
-31284.800000	0.861190
-64804.400000	0.753542
-93854.800000	0.606232
-113966.400000	0.441926
-126256.800000	0.232294
-131843.600000	0.028328
-131843.600000	-0.045326
-400000.000000	-1.637394
-330726.400000	-1.529746
-279329.600000	-1.461756
-201117.200000	-1.337110
-109497.200000	-1.189802
-39106.000000	-1.048158
1117.200000	-0.951842
52514.000000	-0.798866
87150.800000	-0.651558
116201.200000	-0.407932
129608.800000	-0.164306
134078.400000	0.067988
397765.200000	1.631728
