"H (A_per_meter)" 	"B (tesla)"
-51700 	0
-50766 	0.441
-49840 	0.61599999999999999
-47796 	0.78100000000000003
-46987 	0.83099999999999996
-43842 	0.96799999999999997
-39717 	1.042
-35433 	1.0820000000000001
-31687 	1.1060000000000001
-27971 	1.123
-23099 	1.1399999999999999
-18775 	1.1499999999999999
-15120 	1.159
-10736 	1.1659999999999999
-5742 	1.173
0 	1.1850000000000001
